index,data
0,0.0875
1,0.09
2,0.09
3,0.0875
4,0.0875
5,0.085
6,0.09
7,0.09
8,0.09
9,0.09
10,0.085
11,0.0875
12,0.0825
13,0.0875
14,0.09
15,0.09
16,0.09
17,0.0875
18,0.09
19,0.09
20,0.085
21,0.09
22,0.085
23,0.09
24,0.09
25,0.09
26,0.0875
27,0.085
28,0.0875
29,0.09
30,0.085
31,0.09
32,0.085
33,0.0875
34,0.0875
35,0.0875
36,0.0875
37,0.0875
38,0.085
39,0.09
40,0.0875
41,0.09
42,0.085
43,0.09
44,0.09
45,0.09
46,0.09
47,0.085
48,0.0875
49,0.0875
50,0.085
51,0.0875
52,0.09
53,0.09
54,0.085
55,0.085
56,0.0875
57,0.0875
58,0.08
59,0.0825
60,0.09
61,0.09
62,0.09
63,0.0825
64,0.08
65,0.09
66,0.09
67,0.09
68,0.085
69,0.09
70,0.0875
71,0.0875
72,0.09
73,0.085
74,0.09
75,0.0825
76,0.09
77,0.09
78,0.09
79,0.085
80,0.0925
81,0.09
82,0.09
83,0.09
84,0.0875
85,0.0875
86,0.0875
87,0.085
88,0.0875
89,0.09
90,0.085
91,0.09
92,0.09
93,0.0825
94,0.085
95,0.0825
96,0.09
97,0.09
98,0.0875
99,0.09
100,0.085
101,0.09
102,0.0825
103,0.0875
104,0.09
105,0.09
106,0.085
107,0.09
108,0.0875
109,0.0875
110,0.09
111,0.09
112,0.09
113,0.09
114,0.09
115,0.0875
116,0.09
117,0.085
118,0.0875
119,0.09
120,0.1
121,0.165
122,0.2025
123,0.215
124,0.22
125,0.14
126,0.0925
127,0.09
128,0.0925
129,0.09
130,0.0975
131,0.0925
132,0.0925
133,0.095
134,0.09
135,0.0925
136,0.095
137,0.0925
138,0.0975
139,0.09
140,0.0925
141,0.09
142,0.0925
143,0.095
144,0.09
145,0.1
146,0.0925
147,0.0925
148,0.0975
149,0.095
150,0.03
151,-0.06
152,-0.2075
153,-0.35
154,-0.44
155,-0.5475
156,-0.6575
157,-0.755
158,-0.82
159,-0.845
160,-0.855
161,-0.8775
162,-0.905
163,-0.9275
164,-0.94
165,-0.945
166,-0.9475
167,-0.95
168,-0.95
169,-0.95
170,-0.95
171,-0.95
172,-0.955
173,-0.97
174,-0.98
175,-0.97
176,-0.955
177,-0.9525
178,-0.96
179,-0.96
180,-0.955
181,-0.955
182,-0.9525
183,-0.9525
184,-0.93
185,-0.89
186,-0.7775
187,-0.5375
188,-0.275
189,0.085
190,0.09
191,0.09
192,0.1125
193,0.1675
194,0.295
195,0.35
196,0.3625
197,0.365
198,0.36
199,0.3375
200,0.2275
201,0.09
202,0.0875
203,0.0875
204,0.09
205,0.09
206,0.09
207,0.09
208,0.09
209,0.095
210,0.09
211,0.09
212,0.12
213,0.1875
214,0.2525
215,0.2675
216,0.225
217,0.115
218,0.0825
219,0.085
220,0.095
221,0.0875
222,0.0825
223,0.085
224,0.085
225,0.0125
226,-0.0525
227,-0.075
228,-0.07
229,0.0275
230,0.085
231,0.0825
232,0.06
233,-0.045
234,-0.1275
235,-0.15
236,-0.085
237,0.06
238,0.09
239,0.085
240,0.0875
241,0.09
242,0.0875
243,0.085
244,0.0825
245,0.085
246,0.085
247,0.0825
248,0.0825
249,0.085
250,0.0825
251,-0.0075
252,-0.1175
253,-0.195
254,-0.2475
255,-0.27
256,-0.305
257,-0.33
258,-0.36
259,-0.4275
260,-0.5075
261,-0.565
262,-0.6325
263,-0.73
264,-0.785
265,-0.8475
266,-0.9275
267,-0.97
268,-0.9725
269,-0.99
270,-0.99
271,-0.9875
272,-0.99
273,-0.99
274,-0.9875
275,-0.9875
276,-0.99
277,-0.99
278,-0.9825
279,-0.9875
280,-0.9875
281,-0.985
282,-0.99
283,-1.0
284,-0.9875
285,-0.9875
286,-0.985
287,-0.9875
288,-0.9625
289,-0.925
290,-0.7925
291,-0.3725
292,-0.145
293,0.0675
294,0.09
295,0.0875
296,0.09
297,0.085
298,0.09
299,0.085
300,0.09
301,0.0825
302,0.0875
303,0.0875
304,0.0875
305,0.09
306,0.09
307,0.0875
308,0.0875
309,0.0875
310,0.0825
311,0.0875
312,0.0875
313,0.0925
314,0.09
315,0.09
316,0.0875
317,0.09
318,0.0875
319,0.0875
320,0.0875
321,0.09
322,0.1075
323,0.18
324,0.2525
325,0.3
326,0.2975
327,0.24
328,0.1325
329,0.0775
330,0.085
331,0.09
332,0.09
333,0.0875
334,0.09
335,0.09
336,0.09
337,0.095
338,0.085
339,0.0875
340,0.085
341,0.09
342,0.0875
343,0.09
344,0.0875
345,0.0825
346,0.0225
347,-0.0975
348,-0.2675
349,-0.435
350,-0.5425
351,-0.6175
352,-0.6825
353,-0.7125
354,-0.7275
355,-0.7325
356,-0.7525
357,-0.7975
358,-0.84
359,-0.8725
360,-0.8925
361,-0.9
362,-0.9
363,-0.9
364,-0.8525
365,-0.6525
366,-0.25
367,0.02
368,0.0875
369,0.085
370,0.085
371,0.1
372,0.1025
373,0.165
374,0.23
375,0.3025
376,0.3525
377,0.3975
378,0.4275
379,0.475
380,0.555
381,0.59
382,0.62
383,0.6775
384,0.7175
385,0.725
386,0.735
387,0.7525
388,0.77
389,0.785
390,0.7875
391,0.79
392,0.785
393,0.79
394,0.785
395,0.7875
396,0.7825
397,0.78
398,0.7825
399,0.785
